Run,ER,Spn,Ct,index,alpha,ln.alpha,beta,Smsy,Smsy80p,Sgen,Umsy
835,24.697345353203517,628.7771663007507,206.22283369924935,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
843,24.697345353203517,634.8013786724944,208.19862132750563,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
851,24.697345353203517,640.8255910442381,210.17440895576195,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
859,24.697345353203517,646.8498034159818,212.1501965840182,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
867,24.697345353203517,652.8740157877255,214.1259842122745,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
875,24.697345353203517,658.8982281594692,216.10177184053077,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
883,24.697345353203517,664.9224405312129,218.07755946878703,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
891,24.697345353203517,670.9466529029567,220.05334709704334,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
899,24.697345353203517,676.9708652747004,222.02913472529963,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
907,24.697345353203517,682.9950776464441,224.00492235355588,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
915,24.697345353203517,689.0192900181878,225.98070998181217,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
923,24.697345353203517,695.0435023899315,227.95649761006848,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
931,24.697345353203517,701.0677147616752,229.93228523832474,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
939,24.697345353203517,707.091927133419,231.90807286658102,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
947,24.697345353203517,713.1161395051627,233.8838604948373,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
955,24.697345353203517,719.1403518769064,235.85964812309356,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
963,24.697345353203517,725.1645642486502,237.83543575134988,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
971,24.697345353203517,731.1887766203939,239.81122337960616,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
979,24.697345353203517,737.2129889921376,241.78701100786242,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
987,24.697345353203517,743.2372013638814,243.7627986361187,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
995,24.697345353203517,749.2614137356251,245.73858626437496,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1003,24.697345353203517,755.2856261073688,247.71437389263127,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1011,24.697345353203517,761.3098384791125,249.69016152088756,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1019,24.697345353203517,767.3340508508562,251.6659491491438,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1027,24.697345353203517,773.3582632225999,253.6417367774001,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1035,24.697345353203517,779.3824755943436,255.6175244056564,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1043,24.697345353203517,785.4066879660874,257.59331203391264,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1052,24.697345353203517,792.183926884299,259.816073115701,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1060,24.697345353203517,798.2081392560427,261.7918607439573,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
1068,24.697345353203517,804.2323516277864,263.76764837221356,1,1.7,0.5306282510621704,5e-4,493.9469070640703,395.15752565125626,345.31510051205845,0.24697345353203515
